          Site Type        , Used,Fixed,Prohibited,Available,Util% 
 CLB LUTs                  ,43000,    0,         0,   274080,15.69 
   LUT as Logic            ,37963,    0,         0,   274080,13.85 
   LUT as Memory           , 5037,    0,         0,   144000, 3.50 
     LUT as Distributed RAM, 2396,    0,          ,         ,      
     LUT as Shift Register , 2641,    0,          ,         ,      
 CLB Registers             ,60685,    0,         0,   548160,11.07 
   Register as Flip Flop   ,60645,    0,         0,   548160,11.06 
   Register as Latch       ,   40,    0,         0,   548160,<0.01 
 CARRY8                    , 2396,    0,         0,    34260, 6.99 
 F7 Muxes                  ,  178,    0,         0,   137040, 0.13 
 F8 Muxes                  ,    4,    0,         0,    68520,<0.01 
 F9 Muxes                  ,    0,    0,         0,    34260, 0.00 
 Total,Clock Enable,Synchronous,Asynchronous 
 0    ,           _,          -,           - 
 0    ,           _,          -,         Set 
 0    ,           _,          -,       Reset 
 0    ,           _,        Set,           - 
 0    ,           _,      Reset,           - 
 0    ,         Yes,          -,           - 
 238  ,         Yes,          -,         Set 
 8565 ,         Yes,          -,       Reset 
 1421 ,         Yes,        Set,           - 
 50461,         Yes,      Reset,           - 
                  Site Type                , Used,Fixed,Prohibited,Available,Util% 
 CLB                                       , 8547,    0,         0,    34260,24.95 
   CLBL                                    , 3892,    0,          ,         ,      
   CLBM                                    , 4655,    0,          ,         ,      
 LUT as Logic                              ,37963,    0,         0,   274080,13.85 
   using O5 output only                    , 1046,     ,          ,         ,      
   using O6 output only                    ,28065,     ,          ,         ,      
   using O5 and O6                         , 8852,     ,          ,         ,      
 LUT as Memory                             , 5037,    0,         0,   144000, 3.50 
   LUT as Distributed RAM                  , 2396,    0,          ,         ,      
     using O5 output only                  ,    0,     ,          ,         ,      
     using O6 output only                  ,   24,     ,          ,         ,      
     using O5 and O6                       , 2372,     ,          ,         ,      
   LUT as Shift Register                   , 2641,    0,          ,         ,      
     using O5 output only                  ,    2,     ,          ,         ,      
     using O6 output only                  , 2192,     ,          ,         ,      
     using O5 and O6                       ,  447,     ,          ,         ,      
 CLB Registers                             ,60685,    0,         0,   548160,11.07 
   Register driven from within the CLB     ,36381,     ,          ,         ,      
   Register driven from outside the CLB    ,24304,     ,          ,         ,      
     LUT in front of the register is unused,17803,     ,          ,         ,      
     LUT in front of the register is used  , 6501,     ,          ,         ,      
 Unique Control Sets                       , 2384,     ,         0,    68520, 3.48 
     Site Type    ,Used,Fixed,Prohibited,Available,Util% 
 Block RAM Tile   ,  13,    0,         0,      912, 1.43 
   RAMB36/FIFO*   ,  13,    0,         0,      912, 1.43 
     RAMB36E2 only,  13,     ,          ,         ,      
   RAMB18         ,   0,    0,         0,     1824, 0.00 
    Site Type  ,Used,Fixed,Prohibited,Available,Util% 
 DSPs          ,  64,    0,         0,     2520, 2.54 
   DSP48E2 only,  64,     ,          ,         ,      
