          Site Type        , Used,Fixed,Prohibited,Available,Util% 
 CLB LUTs                  ,42981,    0,         0,    87840,48.93 
   LUT as Logic            ,37937,    0,         0,    87840,43.19 
   LUT as Memory           , 5044,    0,         0,    57600, 8.76 
     LUT as Distributed RAM, 2396,    0,          ,         ,      
     LUT as Shift Register , 2648,    0,          ,         ,      
 CLB Registers             ,60669,    0,         0,   175680,34.53 
   Register as Flip Flop   ,60669,    0,         0,   175680,34.53 
   Register as Latch       ,    0,    0,         0,   175680, 0.00 
 CARRY8                    , 2396,    0,         0,    14640,16.37 
 F7 Muxes                  ,  180,    0,         0,    58560, 0.31 
 F8 Muxes                  ,    4,    0,         0,    29280, 0.01 
 F9 Muxes                  ,    0,    0,         0,    14640, 0.00 
 Total,Clock Enable,Synchronous,Asynchronous 
 0    ,           _,          -,           - 
 0    ,           _,          -,         Set 
 0    ,           _,          -,       Reset 
 0    ,           _,        Set,           - 
 0    ,           _,      Reset,           - 
 0    ,         Yes,          -,           - 
 238  ,         Yes,          -,         Set 
 8531 ,         Yes,          -,       Reset 
 1421 ,         Yes,        Set,           - 
 50479,         Yes,      Reset,           - 
                  Site Type                , Used,Fixed,Prohibited,Available,Util% 
 CLB                                       , 8314,    0,         0,    14640,56.79 
   CLBL                                    , 3903,    0,          ,         ,      
   CLBM                                    , 4411,    0,          ,         ,      
 LUT as Logic                              ,37937,    0,         0,    87840,43.19 
   using O5 output only                    , 1016,     ,          ,         ,      
   using O6 output only                    ,28122,     ,          ,         ,      
   using O5 and O6                         , 8799,     ,          ,         ,      
 LUT as Memory                             , 5044,    0,         0,    57600, 8.76 
   LUT as Distributed RAM                  , 2396,    0,          ,         ,      
     using O5 output only                  ,    0,     ,          ,         ,      
     using O6 output only                  ,   24,     ,          ,         ,      
     using O5 and O6                       , 2372,     ,          ,         ,      
   LUT as Shift Register                   , 2648,    0,          ,         ,      
     using O5 output only                  ,    0,     ,          ,         ,      
     using O6 output only                  , 2208,     ,          ,         ,      
     using O5 and O6                       ,  440,     ,          ,         ,      
 CLB Registers                             ,60669,    0,         0,   175680,34.53 
   Register driven from within the CLB     ,36475,     ,          ,         ,      
   Register driven from outside the CLB    ,24194,     ,          ,         ,      
     LUT in front of the register is unused,17513,     ,          ,         ,      
     LUT in front of the register is used  , 6681,     ,          ,         ,      
 Unique Control Sets                       , 2534,     ,         0,    29280, 8.65 
     Site Type    ,Used,Fixed,Prohibited,Available,Util% 
 Block RAM Tile   ,  13,    0,         0,      128,10.16 
   RAMB36/FIFO*   ,  13,    0,         0,      128,10.16 
     RAMB36E2 only,  13,     ,          ,         ,      
   RAMB18         ,   0,    0,         0,      256, 0.00 
 URAM             ,   0,    0,         0,       48, 0.00 
    Site Type  ,Used,Fixed,Prohibited,Available,Util% 
 DSPs          ,  64,    0,         0,      728, 8.79 
   DSP48E2 only,  64,     ,          ,         ,      
     Site Type   ,Used,Fixed,Prohibited,Available,Util% 
 Bonded IOB      , 108,  108,         0,      252,42.86 
 HPIOB_M         ,  49,   49,         0,       72,68.06 
   INPUT         ,  24,     ,          ,         ,      
   OUTPUT        ,  25,     ,          ,         ,      
   BIDIR         ,   0,     ,          ,         ,      
 HPIOB_S         ,  48,   48,         0,       72,66.67 
   INPUT         ,  24,     ,          ,         ,      
   OUTPUT        ,  24,     ,          ,         ,      
   BIDIR         ,   0,     ,          ,         ,      
 HDIOB_M         ,   5,    5,         0,       48,10.42 
   INPUT         ,   0,     ,          ,         ,      
   OUTPUT        ,   1,     ,          ,         ,      
   BIDIR         ,   4,     ,          ,         ,      
 HDIOB_S         ,   6,    6,         0,       48,12.50 
   INPUT         ,   0,     ,          ,         ,      
   OUTPUT        ,   1,     ,          ,         ,      
   BIDIR         ,   5,     ,          ,         ,      
 HPIOB_SNGL      ,   0,    0,         0,       12, 0.00 
 HPIOBDIFFINBUF  ,  16,   16,         0,       96,16.67 
   DIFFINBUF     ,  16,   16,          ,         ,      
 HPIOBDIFFOUTBUF ,  16,   16,         0,       96,16.67 
